City,Lat,Lng,Humidity,Cloudiness,WindSpeed,Temps
ribeira grande,38.52,-28.7,68,42,21.23,61.48
albany,42.6,-73.97,50,20,12.75,55.4
solnechnyy,50.72,136.63,82,2,0.98,20.07
sabzevar,36.21,57.68,36,0,5.57,51.71
ilulissat,69.22,-51.1,63,100,6.93,28.4
girona,41.98,2.82,100,0,4.7,50.0
dodola,6.98,39.18,73,58,2.04,48.54
iqaluit,63.75,-68.51,77,20,5.82,1.4
avera,33.19,-82.53,45,1,3.98,62.6
severo-kurilsk,50.68,156.12,75,87,32.75,37.94
sur,22.57,59.53,47,0,7.49,71.2
cherskiy,68.75,161.3,88,100,5.21,7.48
half moon bay,37.46,-122.43,77,1,18.34,75.99
abu zabad,12.35,29.25,23,0,15.66,79.43
ponta do sol,32.67,-17.1,82,40,2.24,60.8
seoul,37.57,126.98,58,1,3.15,35.6
sorland,67.67,12.69,86,75,5.82,41.0
torbay,47.67,-52.73,54,75,12.75,30.0
dikson,73.51,80.55,91,0,6.44,1.67
saint george,37.1,-113.58,22,1,1.03,80.01
srednekolymsk,67.45,153.68,92,100,21.16,3.04
sinnamary,5.38,-52.95,85,95,9.46,79.48
saskylakh,71.92,114.08,91,99,5.1,-6.93
barrow,71.29,-156.79,68,90,20.8,26.6
kulunda,52.57,78.94,88,99,18.68,32.65
yellowknife,62.46,-114.35,71,75,3.36,5.0
beringovskiy,63.05,179.32,95,100,21.03,36.81
shenjiamen,29.96,122.3,65,89,9.82,63.23
coahuayana,18.73,-103.68,43,20,9.17,89.6
cedar city,37.68,-113.06,17,1,5.82,71.6
tuktoyaktuk,69.45,-133.04,85,75,12.75,10.4
aurangabad,19.88,75.33,62,0,2.04,65.79
hilo,19.73,-155.09,58,20,9.17,87.8
lisala,2.15,21.52,98,100,1.61,70.97
kitimat,54.05,-128.65,95,100,2.01,39.0
tigil,57.8,158.67,89,100,8.88,33.64
vanavara,60.34,102.28,97,100,6.67,18.18
aras,42.56,-2.36,93,90,2.24,48.0
plouzane,48.38,-4.62,93,0,8.05,46.4
taoudenni,22.68,-3.98,17,35,5.14,77.07
