City,Lat,Lng,Humidity,Cloudiness,WindSpeed,Temps
atuona,-9.8,-139.03,75,3,21.54,78.94
vaini,-21.2,-175.2,74,20,12.75,80.6
punta arenas,-53.15,-70.92,81,90,9.17,48.2
kruisfontein,-34.0,24.73,83,100,7.0,68.0
ushuaia,-54.8,-68.3,36,0,4.7,64.4
saint-joseph,-21.37,55.62,63,0,6.93,66.99
puerto leguizamo,-0.19,-74.78,97,100,2.35,75.13
rikitea,-23.12,-134.97,72,1,12.03,73.6
kaitangata,-46.28,169.85,80,97,2.66,61.74
avarua,-21.21,-159.78,83,95,26.17,73.4
hobart,-42.88,147.33,40,75,9.17,57.0
busselton,-33.65,115.33,49,72,13.06,55.0
port elizabeth,-33.92,25.57,88,75,9.17,68.0
east london,-33.02,27.91,84,100,13.4,68.59
olinda,-8.01,-34.86,78,40,6.93,80.6
caravelas,-17.71,-39.25,91,100,5.17,70.7
cordoba,-31.41,-64.18,33,0,19.46,77.0
bredasdorp,-34.53,20.04,82,86,13.87,66.2
bowen,-20.02,148.23,65,0,2.24,78.8
walvis bay,-22.96,14.51,82,0,5.82,60.01
kieta,-6.22,155.63,61,95,5.3,85.68
beberibe,-4.18,-38.13,78,20,9.17,80.6
vila velha,-20.33,-40.29,83,90,6.93,75.0
new norfolk,-42.78,147.06,49,24,3.0,57.0
chuy,-33.7,-53.46,80,0,6.98,55.47
mar del plata,-38.0,-57.56,55,0,17.22,64.4
saint-philippe,-21.36,55.77,63,0,6.93,69.8
port alfred,-33.59,26.89,88,100,10.4,68.11
rocha,-34.48,-54.33,82,0,6.35,52.05
fare,-16.7,-151.02,81,58,13.33,79.21
hermanus,-34.42,19.23,91,74,4.0,64.0
bluff,-46.6,168.33,80,83,13.0,59.0
esperance,-33.87,121.9,71,90,8.05,53.6
nabire,-3.37,135.48,71,88,3.24,81.7
kalabo,-14.97,22.68,77,77,3.76,69.94
dubbo,-32.25,148.62,87,75,14.99,57.2
puerto ayora,-0.74,-90.35,80,66,11.01,71.01
